Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
13273,NULL,1,138.98,1,1,1,111
15135,NULL,1,139.05,2,1,1,211
18209,29,1,139.1,2,1,1,211
14772,NULL,1,139.26,1,1,1,111
17718,NULL,1,139.35,1,2,1,121
16483,NULL,1,139.35,1,2,1,121
16921,91,1,139.38,3,1,1,311
14494,NULL,1,139.56,2,1,1,211
13809,161,1,140.3,3,1,1,311
13483,214,1,140.34,3,1,1,311
16893,485,1,140.86,4,1,1,411
15503,363,1,141.04,4,1,1,411
14041,NULL,1,141.41,2,1,1,211
13561,127,1,141.86,3,1,1,311
16406,NULL,1,141.9,1,2,1,121
17859,130,1,141.92,3,1,1,311
14386,NULL,1,142.4,2,1,1,211
13584,191,1,142.4,3,1,1,311
13299,NULL,1,142.5,1,1,1,111
16287,NULL,1,142.5,1,2,1,121
14204,151,1,143.1,3,1,1,311
15705,NULL,1,143.1,1,2,1,121
18004,363,1,143.12,4,1,1,411
13598,NULL,1,143.14,1,1,1,111
17578,219,1,143.46,4,1,1,411
12587,301,1,144,4,1,1,411
17186,61,2,144,2,2,1,221
14109,NULL,1,144.2,2,1,1,211
15435,NULL,1,144.34,2,1,1,211
12974,NULL,1,144.8,1,1,1,111
16852,NULL,2,144.91,1,2,1,121
17524,NULL,1,145,1,2,1,121
16598,NULL,1,145.05,1,2,1,121
17935,NULL,2,145.24,1,2,1,121
15937,183,1,145.35,3,1,1,311
12893,90,1,145.35,3,1,1,311
13866,NULL,1,145.67,1,1,1,111
12565,NULL,1,145.92,1,1,1,111
17832,NULL,1,146.01,1,2,1,121
17946,NULL,2,146.63,1,2,1,121
14238,NULL,1,146.85,2,1,1,211
17030,153,1,146.87,3,1,1,311
12864,NULL,1,147.12,1,1,1,111
14037,424,2,147.2,4,3,1,431
14098,274,1,147.35,4,1,1,411
14968,90,1,147.59,3,1,1,311
15454,363,1,148.1,4,1,1,411
15526,182,2,148.44,3,2,1,321
17549,NULL,2,148.86,1,2,1,121
13003,96,3,149.05,3,3,1,331
18262,NULL,1,149.48,1,2,1,121
18200,NULL,1,149.52,1,2,1,121
17234,65,1,149.89,2,1,1,211
15717,NULL,1,150.3,1,2,1,121
14073,152,1,151.04,3,1,1,311
16337,274,1,151.05,4,1,1,411
13697,333,1,151.3,4,1,1,411
17286,NULL,1,151.37,1,2,1,121
13462,340,1,151.5,4,1,1,411
14362,NULL,1,151.5,2,1,1,211
17899,278,1,151.65,4,1,1,411
14208,184,1,151.74,3,1,1,311
16617,NULL,1,151.85,1,2,1,121
17885,NULL,1,151.94,1,2,1,121
17898,NULL,2,152.06,1,2,1,121
14039,182,1,152.2,3,1,1,311
13514,NULL,1,152.2,1,1,1,111
17707,157,2,152.4,3,2,1,321
14066,NULL,1,152.55,2,1,1,211
18138,NULL,1,152.65,1,2,1,121
17984,NULL,1,152.68,1,2,1,121
16248,91,1,152.94,3,1,1,311
16720,NULL,1,152.95,1,2,1,121
12602,0,1,153.12,2,1,1,211
12573,NULL,1,153.4,1,1,1,111
16351,39,1,153.9,2,1,1,211
17517,252,1,153.94,4,1,1,411
15226,311,1,154.41,4,1,1,411
18014,29,1,154.57,2,1,1,211
17026,577,2,154.83,4,3,1,431
16952,NULL,2,154.86,1,2,1,121
15740,NULL,1,154.88,1,2,1,121
17698,NULL,1,154.95,1,2,1,121
14046,NULL,1,154.99,2,1,1,211
14368,NULL,1,155,2,1,1,211
15447,NULL,1,155.17,2,1,1,211
12738,666,1,155.35,4,1,1,411
17871,NULL,1,155.9,1,2,1,121
13898,NULL,1,155.93,2,1,1,211
15263,NULL,1,156.51,2,1,1,211
15438,NULL,1,156.58,2,1,1,211
14406,2,1,156.75,2,1,1,211
15988,NULL,1,156.78,1,2,1,121
15007,278,1,156.91,4,1,1,411
17118,NULL,1,157.02,1,2,1,121
14585,NULL,1,157.05,2,1,1,211
14148,NULL,1,157.2,2,1,1,211
14485,333,1,157.39,4,1,1,411
17344,NULL,1,157.62,1,2,1,121
14799,NULL,1,157.7,1,1,1,111
17556,NULL,1,157.9,1,2,1,121
15348,NULL,1,158.04,2,1,1,211
15160,NULL,1,158.16,2,1,1,211
17165,NULL,1,158.68,1,2,1,121
14089,NULL,1,158.75,2,1,1,211
15167,NULL,1,158.8,2,1,1,211
13937,NULL,1,158.85,2,1,1,211
18224,NULL,1,158.95,1,2,1,121
16213,NULL,1,159,1,2,1,121
17561,NULL,1,159.3,1,2,1,121
13568,NULL,1,159.4,1,1,1,111
13420,NULL,2,159.85,1,2,1,121
15325,NULL,1,160.09,1,1,1,111
12966,NULL,1,160.18,1,1,1,111
14714,NULL,1,160.19,1,1,1,111
18146,280,2,160.35,4,3,1,431
18203,217,1,160.42,4,1,1,411
15852,187,2,160.71,3,2,1,321
13229,NULL,1,160.95,1,1,1,111
14237,697,1,161,4,1,1,411
16113,95,1,161.38,3,1,1,311
15458,NULL,1,161.64,2,1,1,211
17600,NULL,1,161.67,1,2,1,121
14552,33,1,162.27,2,1,1,211
15733,310,1,162.3,4,1,1,411
16517,160,1,162.7,3,1,1,311
12920,NULL,1,162.78,1,1,1,111
14966,NULL,1,163.05,1,1,1,111
13223,NULL,2,163.2,1,2,1,121
15888,NULL,1,163.21,1,2,1,121
17301,NULL,1,163.24,1,2,1,121
17110,NULL,1,163.3,1,2,1,121
14354,90,2,163.62,3,2,1,321
13618,NULL,1,163.66,1,1,1,111
18088,91,1,164.18,3,1,1,311
13603,NULL,1,164.34,1,1,1,111
17535,251,1,164.4,4,1,1,411
15904,332,1,164.68,4,1,1,411
15316,NULL,1,165,2,1,1,211
13470,335,2,165,4,3,1,431
18042,NULL,1,165.05,1,2,1,121
16887,243,1,165.53,4,1,1,411
12817,282,1,166.04,4,1,1,411
17650,NULL,1,166.08,1,2,1,121
14295,NULL,1,166.2,2,1,1,211
17367,NULL,1,166.7,1,2,1,121
18110,NULL,1,166.7,1,2,1,121
16405,69,2,167.25,2,2,1,221
15920,125,4,167.5,3,3,1,331
12551,NULL,1,168,1,1,1,111
15374,277,1,168,4,1,1,411
15986,90,1,168.12,2,1,1,211
17737,0,2,168.24,2,2,1,221
16282,253,1,168.3,4,1,1,411
18099,246,1,168.31,4,1,1,411
18269,485,1,168.6,4,1,1,411
14578,181,1,168.63,3,1,1,311
12367,212,1,168.9,3,1,1,311
15335,NULL,1,168.97,1,1,1,111
17542,NULL,1,169.3,1,2,1,121
14218,NULL,1,169.48,2,1,1,211
13962,128,2,169.55,3,2,1,321
15016,NULL,1,170.04,1,1,1,111
18058,NULL,1,170.16,1,2,1,121
15014,NULL,2,170.17,1,2,1,121
14860,NULL,1,170.32,1,1,1,111
14536,NULL,1,170.95,2,1,1,211
15432,NULL,1,171.19,2,1,1,211
16914,274,1,171.34,4,1,1,411
13560,301,1,171.42,4,1,1,411
17245,NULL,1,171.45,1,2,1,121
17947,302,1,171.64,4,1,1,411
17582,NULL,1,171.97,1,2,1,121
12442,181,1,172.06,3,1,1,311
13922,NULL,1,172.25,2,1,1,211
13690,30,1,172.25,2,1,1,211
18048,NULL,2,172.29,1,2,1,121
14087,151,1,172.46,3,1,1,311
16448,NULL,1,172.49,1,2,1,121
12923,183,1,172.82,3,1,1,311
14693,NULL,1,172.9,1,1,1,111
15670,NULL,1,173.05,1,2,1,121
15565,NULL,2,173.16,1,2,1,121
17772,NULL,2,173.45,1,2,1,121
12441,485,1,173.55,4,1,1,411
16565,424,1,173.7,4,1,1,411
14798,311,3,173.74,4,3,1,431
16861,30,2,173.76,2,2,1,221
18278,NULL,1,173.9,1,2,1,121
14518,183,1,174.37,3,1,1,311
14355,454,1,174.4,4,1,1,411
18010,NULL,1,174.8,1,2,1,121
17331,124,1,175.2,3,1,1,311
16144,159,1,175.2,3,1,1,311
18274,90,1,175.92,2,1,1,211
17660,NULL,1,176.2,1,2,1,121
12509,NULL,1,176.5,1,1,1,111
14287,332,3,176.63,4,3,1,431
13072,NULL,1,177.15,1,1,1,111
12618,NULL,1,177.31,1,1,1,111
16403,NULL,1,177.5,1,2,1,121
18282,216,2,178.05,4,2,1,421
17356,342,1,178.22,4,1,1,411
17253,NULL,1,178.26,1,2,1,121
18045,NULL,1,178.34,1,2,1,121
15292,NULL,1,178.39,2,1,1,211
17879,NULL,1,178.52,1,2,1,121
17904,NULL,1,178.57,1,2,1,121
13778,NULL,1,178.7,1,1,1,111
15262,NULL,1,178.95,2,1,1,211
16620,181,2,178.96,3,2,1,321
15139,162,2,178.96,3,2,1,321
14705,NULL,1,179,1,1,1,111
16990,219,1,179,4,1,1,411
15895,NULL,1,179.17,1,2,1,121
16433,29,1,179.22,2,1,1,211
18147,NULL,2,179.34,1,2,1,121
15041,NULL,1,179.93,1,1,1,111
12622,NULL,1,180.1,1,1,1,111
14082,424,1,180.3,4,1,1,411
14722,NULL,1,180.42,1,1,1,111
13710,121,1,180.48,3,1,1,311
18280,160,1,180.6,3,1,1,311
13146,NULL,1,180.66,1,1,1,111
18119,516,1,180.7,4,1,1,411
16835,277,2,180.85,4,2,1,421
15945,454,1,181,4,1,1,411
16594,NULL,1,181.09,1,2,1,121
15886,61,1,181.09,2,1,1,211
16895,183,1,182.89,3,1,1,311
13059,250,1,183.4,4,1,1,411
14801,91,1,183.41,3,1,1,311
13460,60,2,183.44,2,2,1,221
14059,NULL,1,183.6,2,1,1,211
16680,NULL,1,183.7,1,2,1,121
14326,36,1,183.85,2,1,1,211
15124,338,2,184.19,4,3,1,431
17680,NULL,1,184.4,1,2,1,121
13482,NULL,1,184.64,1,1,1,111
16097,NULL,1,185.05,1,2,1,121
14199,219,1,185.4,4,1,1,411
17574,36,1,185.65,2,1,1,211
14984,4,2,185.87,2,2,1,221
12641,NULL,1,185.9,1,1,1,111
15567,NULL,1,186.01,1,2,1,121
14551,NULL,2,186.23,2,2,1,221
13672,38,2,186.39,2,2,1,221
17440,186,3,186.42,3,3,1,331
16017,NULL,1,187.18,1,2,1,121
18013,156,2,187.29,3,2,1,321
17781,278,2,188.02,4,2,1,421
14697,219,2,188.61,4,2,1,421
17891,NULL,1,188.74,1,2,1,121
14830,NULL,1,188.88,1,1,1,111
15723,424,1,189,4,1,1,411
13663,NULL,1,189.47,1,1,1,111
13826,NULL,1,189.5,1,1,1,111
16415,NULL,1,189.81,1,2,1,121
13008,NULL,1,189.87,1,1,1,111
12361,NULL,1,189.9,1,1,1,111
14100,NULL,1,190.05,2,1,1,211
13972,NULL,2,190.25,2,2,1,221
15412,NULL,1,190.53,2,1,1,211
13033,NULL,1,190.55,1,1,1,111
17233,243,1,190.88,4,1,1,411
15692,29,1,191.04,2,1,1,211
17608,182,2,191.04,3,2,1,321
15909,NULL,1,191.94,1,2,1,121
15437,NULL,1,192.11,2,1,1,211
12791,697,1,192.6,4,1,1,411
14768,246,2,192.6,4,2,1,421
12522,NULL,2,192.72,1,2,1,121
14476,NULL,1,193,2,1,1,211
17383,212,1,193.39,3,1,1,311
14806,NULL,1,193.39,1,1,1,111
16847,NULL,1,193.44,1,2,1,121
16447,NULL,1,193.51,1,2,1,121
17343,NULL,1,193.64,1,2,1,121
15198,155,2,193.64,3,2,1,321
15897,NULL,2,193.74,1,2,1,121
15683,NULL,1,193.75,1,2,1,121
17475,NULL,1,194.37,1,2,1,121
13271,302,1,194.93,4,1,1,411
13428,NULL,1,195.09,1,1,1,111
15612,91,2,195.15,3,2,1,321
14666,NULL,1,195.25,2,1,1,211
17010,NULL,1,195.36,1,2,1,121
13792,244,2,195.55,4,2,1,421
16112,70,4,195.74,2,3,1,231
13978,NULL,2,196.79,2,2,1,221
15746,NULL,1,196.88,1,2,1,121
13436,120,1,196.89,3,1,1,311
12586,NULL,1,196.94,1,1,1,111
13859,NULL,1,196.96,1,1,1,111
15234,129,1,197,3,1,1,311
16829,186,1,197.22,3,1,1,311
14789,29,1,197.64,2,1,1,211
14185,9,1,197.65,2,1,1,211
12581,NULL,1,197.71,1,1,1,111
12450,186,2,197.88,3,2,1,321
16178,NULL,1,197.9,1,2,1,121
17908,697,1,198.18,4,1,1,411
17987,157,1,198.57,3,1,1,311
14960,332,2,198.58,4,3,1,431
18126,61,1,198.64,2,1,1,211
16832,188,3,199.15,3,3,1,331
13322,NULL,1,199.48,1,1,1,111
15593,NULL,1,199.8,1,2,1,121
13723,188,1,199.85,3,1,1,311
14782,NULL,1,200.1,1,1,1,111
13980,61,1,200.14,2,1,1,211
13262,NULL,1,200.29,1,1,1,111
17693,NULL,1,200.47,1,2,1,121
18072,157,1,200.64,3,1,1,311
17843,99,1,200.68,3,1,1,311
17988,337,7,201.12,4,4,1,441
13284,NULL,1,201.19,1,1,1,111
16965,NULL,1,201.19,1,2,1,121
13295,NULL,1,201.2,1,1,1,111
15460,NULL,1,201.26,2,1,1,211
16356,160,3,201.27,3,3,1,331
17889,35,2,201.37,2,2,1,221
15347,485,1,201.6,4,1,1,411
15052,NULL,1,201.83,1,1,1,111
14385,NULL,3,202.11,2,3,1,231
18169,61,1,202.65,2,1,1,211
14381,NULL,1,202.68,2,1,1,211
16411,577,2,202.84,4,3,1,431
17376,342,2,203.2,4,3,1,431
16777,NULL,2,203.63,1,2,1,121
17394,249,1,203.87,4,1,1,411
17187,NULL,1,203.95,1,2,1,121
13017,301,1,204,4,1,1,411
18212,NULL,1,204.12,1,2,1,121
17206,NULL,1,204.24,1,2,1,121
15319,341,1,204.5,4,1,1,411
13513,216,1,205.1,4,1,1,411
